map_name,fairness,start_levels,num_players,player1,player2,player3,player4,player5,player6,player7,player8,start_position1,start_position2,start_position3,start_position4,start_position5,start_position6,start_position7,start_position8,team1,team2,team3,team4,team5,team6,team7,team8,aiv_type1,aiv_type2,aiv_type3,aiv_type4,aiv_type5,aiv_type6,aiv_type7,aiv_type8,mission_name,gold,producible_bows,producible_crossbows,producible_maces,producible_pikes,producible_spears,producible_swords,recruitable_archers,recruitable_spearmen,recruitable_macemen,recruitable_crossbowmen,recruitable_pikemen,recruitable_swordsmen,recruitable_knights,recruitable_arabian_bows,recruitable_slaves,recruitable_slingers,recruitable_assassins,recruitable_horse_archers,recruitable_arabian_swordsmen,recruitable_fire_throwers,resource_wood,resource_hops,resource_stone,resource_partialstone,resource_iron,resource_pitch,resource_partialpitch,resource_wheat,resource_bread,resource_cheese,resource_meat,resource_apple,resource_ale,resource_gold,resource_flour,resource_bow,resource_crossbow,resource_spear,resource_pike,resource_mace,resource_sword,resource_leatherarmor,resource_ironarmor,text_description_line_01,text_description_line_02,text_description_line_03,text_description_line_04,text_description_line_05,text_description_line_06,text_description_line_07,text_description_line_08,trade_logs,tradeable_wood,tradeable_hops,tradeable_stone,tradeable_iron,tradeable_pitch,tradeable_wheat,tradeable_bread,tradeable_cheese,tradeable_meat,tradeable_apple,tradeable_ale,tradeable_beer,trade_gold,tradeable_flour,tradeable_bow,tradeable_crossbow,tradeable_spear,tradeable_pike,tradeable_mace,tradeable_sword,tradeable_leatherarmor,tradeable_ironarmor,gold_player_1,gold_player_2
Rabbits_For_The_Lunatic,4,1,3,0,SK_SULTAN,SK_MARSHAL,0,0,0,0,0,1,2,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,3,4,0,0,0,0,0,Das weiße Kaninchen - Akt I,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,100,0,50,0,0,5,0,0,20,0,20,20,10,0,10,10,0,10,0,0,0,0,0,Die Überfahrt aus Byzanz ist geglückt! - Mehr oder weniger.,"Ein Sturm hat Euch gezwungen, früher an Land zu gehen, aber",der Weg zu den gesicherten Grenzen der Kreuzfahrerstaaten,ist nicht weit. Doch natürlich ist eure Landung nicht unbemerkt,"geblieben und der Feind beginnt eilig damit, die Küste abzuriegeln.",Ganz auf Euch gestellt sind eure Mittel noch sehr begrenzt -,"kämpft Euch dennoch den Weg frei und beginnt euren Marsch",Richtung Grafschaft Tripolis.,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,4000,4000
Aground,4,1,2,0,SK_SHERIFF,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Auf dem Trockenen - Akt I,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,100,0,50,0,0,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ihr marschiert gen Süden und quert die Ausläufer einer Wüste.,Doch dann werdet Ihr aufgehalten: Bellevue hält diesen abge-,"legenen Landstrich. Sie scheint misstrauisch und weigert sich strikt,","Euch passieren zu lassen. Der Weg außen herum würde Euch","viele Tagesmärsche durch unbekanntes Gebiet führen. Nutzt lieber",die bereitwillige Unterstützung einiger zorniger Einheimischer und,erteilt der 'Schnecke' eine... diplomatische Lektion.,,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3000,4000
Enemy_Territory,4,1,4,0,SK_WAZIR,SK_CALIPH,SK_PHILLIP,0,0,0,0,1,2,3,4,0,0,0,0,1,2,2,1,0,0,0,0,0,4,0,2,0,0,0,0,Tiefer ins Feindesland - Akt I,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,100,0,50,0,0,5,0,0,15,15,15,15,0,0,0,0,0,10,0,0,5,0,5,Auf eurem weiteren Weg trefft Ihr auf den jungen Longsword und,schlagt ein gemeinsames Lager auf. Der Knabe scheint viel von,"sich zu halten... und wie es aussieht, wird er sich sogleich beweisen","können, denn die ansässigen Fürsten unternehmen eilige","Anstrengungen, den fruchtbaren Talkessel gegen euer Eindringen","zu verteidigen. Nutzt Longswords militärische Mittel, und macht","den Weg Richtung Tripolis frei!",,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,3000,4000
Clash_Of_Armies,5,1,5,0,SK_SULTAN,SK_SALADIN,SK_EMIR,SK_RICHARD,0,0,0,1,2,3,4,5,0,0,0,1,2,2,2,1,0,0,0,0,5,2,4,2,0,0,0,Aufmarsch der Heere - Akt I,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,100,0,50,0,0,5,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,Endlich! Ihr konntet zum christlichen Heer aufschließen.,"Keinen Tag zu früh, denn der Kampf wird bereits an breiter",Front an den Grenzen Tripolis' geführt. Ihr zieht an der Seite von,"Löwenherz persönlich in den Kampf und seid entschlossen,","Euch zu beweisen. Nutzt die Mittel, die Richard Euch zur Verfügung","stellt, um euer Arsenal zu erweitern und dem unter Saladin","vereinten Heer eine empfindliche Niederlage beizubringen.",,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,2000,5000
Here_Comes_Bessy,4,1,3,0,SK_RAT,SK_ABBOT,0,0,0,0,0,1,2,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,4,3,0,0,0,0,0,Mach's gut Bessy - Akt II,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,100,0,50,0,0,30,0,0,0,20,20,20,10,0,0,0,15,0,0,0,0,0,0,Löwenherz ist zutiefst beeindruckt von eurer Leistung und ernennt,"Euch zum Verwalter einer der eroberten Ländereien. Doch dort","angekommen stellt Ihr fest, dass Le Bougre und De Puce bereits","vor Ort sind - und bleiben wollen. Das christliche Heer scheint","allgemein mit kleinlichen Zänkereien beschäftigt zu sein, sodass Ihr","auf Euch allein gestellt seid! Der sumpfige Boden taugt kaum für","Ackerbau, erschließt also das Umland, um eure Nahrungsver-",sorgung zu sichern. Und... eine Festung wäre auch noch nett.,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,2000,4000
Island_Boogie_Woogie,4,1,3,0,SK_SHERIFF,SK_FREDERICK,0,0,0,0,0,1,2,3,0,0,0,0,0,1,2,3,0,0,0,0,0,0,3,2,0,0,0,0,0,Brücken bauen - Akt II,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"In eurem Bestreben, Euch aus weiteren Kämpfen unter den","Kreuzfahrern herauszuhalten, flüchtet Ihr Euch in die Abge-",schiedenheit eines nahegelegenen Archipels. Leider sind Euch,"zwei andere Einzelgänger zuvorgekommen... und in der all-",gemeinen Feindseligkeit über die Ruhestörung nicht eben,"erfreut. Sie sind im Vorteil: Nicht nur konnten sie bereits mehrere","Inseln erschließen und ordentlich Ressourcen scheffeln,",Bellevue bezieht zusätzliche Verstärkung aus Übersee...,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,2000,10000
Weak_False_Fat_Bad,4,1,5,0,SK_RAT,SK_SNAKE,SK_PIG,SK_WOLF,0,0,0,1,2,3,4,5,0,0,0,1,2,2,2,2,0,0,0,0,3,1,2,2,0,0,0,Lakaien des Bösen - Akt II,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,100,0,50,0,0,5,0,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,"Die Fronten unter den Kreuzfahrern scheinen endgültig verhärtet","Volpe stellt sich inzwischen offen gegen Löwenherz und schart",eigene Verbündete um sich. Er will Euch für seine Sache gewinnen.,"Ihr lehnt ab. Eine Weigerung, die Euch teuer zu stehen kommen",könnte. Jedoch bilden die Schurken keine vereinte Front... nutzt,"diesen Umstand, dann lassen sich verlustreichere Belagerungen",eventuell vermeiden.,,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,2000,3000
The_Webweaver,4,1,6,0,SK_SHERIFF,SK_SNAKE,SK_RICHARD,SK_ABBOT,SK_PIG,0,0,1,5,4,3,2,6,0,0,1,2,2,2,1,2,0,0,0,2,3,7,3,0,3,2,"Die Netzweberin - Akt II",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,100,0,50,0,0,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kein Name kommt inzwischen mit so viel Gift über eure,"Lippen: Bellevue. Sie hat eure notgedrungenen Kämpfe genutzt,","um Euch bei Richard anzuschwärzen und politisch zu isolieren.",Nun geht es für Euch ums nackte Überleben. Le Bougre ist seit,"Längerem mit Löwenherz zerstritten und wittert eine Chance, Euch","für seine Ziele einzuspannen - doch im Augenblick könnt Ihr","dessen Mittel und Technologien gut gebrauchen!",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000,5000
Mount_Terror,4,1,4,0,SK_PHILLIP,SK_RAT,SK_PIG,0,0,0,0,1,2,4,3,0,0,0,0,1,2,2,2,0,0,0,0,0,4,3,3,0,0,0,0,Der Terror vom Berg - Akt II,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,100,0,50,0,0,5,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Es ist Euch gelungen die Stellung zu halten und nach den Ge-,"fechten die Vorwürfe gegen Euch zu entkräften. Ihr erhaltet im","Anschluss von Löwenherz einen gesonderten Auftrag, wohl auch","um Euch und Bellevue künftig getrennt zu halten. Bevor Ihr Euch","dessen annehmen könnt, werdet Ihr jedoch bereits auf dem Marsch",Richtung Süden aufgehalten: Der gierige Truffe hat noch nicht,"genug und stellt Euch nach, bis es ihm schließlich gelingt, Euch",mit Hilfe seines Bluthundes festzusetzen...,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,2000
The_Twilight_Pass,5,1,4,0,SK_NIZAR,SK_FREDERICK,SK_WOLF,0,0,0,0,1,2,3,4,0,0,0,0,1,2,3,3,0,0,0,0,0,4,1,5,0,0,0,0,Über den Zwielichtpass - Akt II,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,100,0,15,0,10,5,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ihr konntet den hässlichen Fettsack und seinen Anhang mit Hilfe",eures erweiterten Instrumentariums zurückschlagen. Doch eurem,königlichen Auftrag könnt Ihr euch noch immer nicht widmen...,"Denn der Weg ist versperrt... Volpe und sein Zögling halten den",Grenzpass und blockieren wichtige Versorgungsrouten aus dem,Inland. Ein frontaler Durchbruch scheint schwierig... Vielleicht gibt,"es noch einen anderen Weg. Leider sind die Späher, die Ihr ins ","Gebirge entsandt habt, bisher nicht zurückgekehrt...",1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1000,2000
A_Lost_Cause,4,1,4,0,SK_CALIPH,SK_SNAKE,SK_MARSHAL,0,0,0,0,1,2,4,3,0,0,0,0,1,2,3,2,0,0,0,0,4,1,5,3,0,0,0,0,Stellung halten - Akt III,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,50,0,50,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,15,0,0,Ihr verlasst Tripolis und könnt endlich den königlichen,"Befehlen nachkommen: Marschiert abseits der Hauptrouten","und sichert das nähere Feindesland, aus dem zuletzt immer",wieder Angriffe auf die europäischen Versorgungslinien er-,"folgten. Ausgangspunkt: Eine nahe Festung, inzwischen nur","noch eine Ruine. Eure Feinde dürften insgesamt geringeres","Format haben als zuletzt - doch dafür müsst Ihr mit ein-",geschränktem Handel und Nachschub auskommen.,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1000,4000
The_Curse,3,1,4,0,SK_RAT,SK_RAT,SK_RAT,0,0,0,0,1,2,3,4,0,0,0,0,1,2,2,2,0,0,0,0,0,2,5,2,0,0,0,0,Die Heimsuchung - Akt III,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,50,0,15,0,0,5,0,15,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,Ihr erreicht ein ärmliches Bergdorf. Die Bewohner gewähren,Euch bereitwillig Zuflucht - nicht nur aus Gastfreundschaft.,"De Puce hat begonnen, in der Nähe einige Stellungen zu be-",festigen. Wie immer legt er sich nur mit den Schwächsten,"an. Die zahllosen Berglöwen tun ihr übriges, um die europäischen","Handelsrouten zu unterbrechen. Die Mittel der Dorfbewohner","müssen genügen, um das Ungeziefer auszumerzen. Mehr als all",das bereiten Euch aber die Nachschublinien Kopfzerbrechen.,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1000,2000
Deamon_From_The_Hills,4,1,2,0,SK_WAZIR,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,6,0,0,0,0,0,0,Dämon aus den Hügeln - Akt III,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,15,0,0,5,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,"Ihr erfahrt, dass die Hyäne einen zentralen Landstrich besetzt",hat und massive Überfälle auf die Versorgungsrouten des,christlichen Heeres organisiert. Eure Aufgabe ist klar: Haltet,"Shirir davon ab, eine Festung zu errichten, mit der er seine",Position dauerhaft behaupten könnte. Bis dahin müsst Ihr,"Euch allein auf die Ressourcen vor Ort verlassen. ",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,4000
Desert_Tides,3,1,5,0,SK_CALIPH,SK_MARSHAL,SK_SULTAN,SK_NIZAR,0,0,0,1,2,3,4,5,0,0,0,1,2,2,2,2,0,0,0,0,6,4,4,1,0,0,0,Gezeiten der Wüste - Akt III,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,15,15,0,10,5,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ihr quert einen Wüstenstreifen und stellt zu spät fest, dass die",unwirtliche Region einige Oasenplätze und fast ebenso viele,Feinde beherbergt. Kurzerhand stürmt Ihr eine schlecht gesicherte,"Stellung auf einem zentralen Plateau. Für echte Befestigungen","bleibt anschließend keine Zeit, denn schon bald branden die ersten",Angriffe gegen euren Felsen. Merzt diese Quelle feindlicher,"Aktivität aus! Damit sollte euer Auftrag erfüllt sein, und Ihr könnt","zu Löwenherz aufschließen.",1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1000,2000
Wrong_Time_Wrong_Place,4,1,5,0,SK_WAZIR,SK_SALADIN,SK_EMIR,SK_RICHARD,0,0,0,1,2,3,4,5,0,0,0,1,2,2,3,3,0,0,0,3,5,7,2,1,0,0,0,"Falsche Zeit, Falscher Ort - Akt III",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,50,0,0,0,0,0,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,Endlich erreicht Ihr Tyrus! Doch Ihr erscheint zu einem lächerlich,"schlechten Zeitpunkt, denn Ihr stolpert geradewegs zwischen",die Fronten des arabischen und christlichen Heeres. Umkehren,"könnt Ihr kaum, das Hinterland hat eure Reserven so gut wie","aufgezehrt. Zudem scheint sich in eurer Abwesenheit einiges getan",zu haben - Löwenherz kämpft an der Seite einer arabischen Fürstin.,"Haltet eure Stellung gegen Freund und Feind, bis sich der Nebel",des Krieges lüftet und Ihr das Missverständnis aufklären könnt.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,500,4000
Defending_The_Homeland,4,1,5,0,SK_PHILLIP,SK_PIG,SK_EMIR,SK_WOLF,0,0,0,1,3,2,4,5,6,0,0,1,2,2,1,2,1,0,0,0,1,7,5,7,0,0,0,Verteidigung der Heimat - Akt IV,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,100,0,50,0,0,0,0,5,15,15,15,15,0,0,0,0,0,0,5,0,0,0,5,"""Nicht schon wieder...!"" - Die ganze Sache ist Löwenherz mehr","als peinlich. Umso überschwänglicher dankt er Euch für die","Erledigung eurer Aufgabe und entsendet Euch sogleich als","seinen Stellvertreter in die Grenzgebiete seiner neuen Ver-","bündeten: die andauernden Überfälle, die dort von ein paar","alten Bekannten organisiert werden, haben die Moral der Truppe","zermürbt. Ihr müsst mit den Mitteln auskommen, die die","Emira Euch anbieten kann und den Feind zurückschlagen.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2000,4000
Ugly_Separation,5,1,6,0,SK_CALIPH,SK_SNAKE,SK_SALADIN,SK_NIZAR,SK_SHERIFF,0,0,1,2,3,4,5,6,0,0,1,2,2,2,2,1,0,0,0,1,7,2,4,4,0,0,Hässliche Trennung - Akt IV,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,50,0,15,0,0,50,0,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,Ihr könnt euer Unglück kaum fassen: Bellevue ist in eurer Ab- ,wesenheit NICHT eines tragischen Todes gestorben... Dafür ,droht das ihr zugewiesene eroberte Gebiet sogleich wieder an den,Feind zu fallen. Ihre Hauptburg liegt bereits in Trümmern. Sie,"musste weit zurückweichen und errichtet eilige neue Verteidigungen.","Das aufgegebene Gebiet ist unsäglich schlecht erschlossen...","Die wenigen Arbeiter, die Euch bleiben, müssen um jeden Preis","geschützt werden! Ob Bellevue denselben Schutz verdient hat?",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000,4000
The_Pack,3,1,5,0,SK_WAZIR,SK_WAZIR,SK_FREDERICK,SK_WAZIR,0,0,0,1,2,3,4,5,0,0,0,1,2,2,1,2,0,0,0,0,6,1,4,7,0,0,0,Das Rudel - Akt IV,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ihr habt diese Länderei bereits einmal gegen die Hyäne verteidigt.,Nun ist sie mit zweien ihrer besten Hauptmänner zurück.,"Aber auch Ihr seid dieses Mal nicht allein. Deepgrowl hat sich von",seinem alten Meister losgesagt und als ehrenhafter Verbündeter,für Richard erwiesen. Er soll diese so wichtigen Handelsrouten,"dauerhaft sichern. Doch er wurde auf dem falschen Fuß erwischt.","Ihr eilt zu seiner Hilfe. Erneut seid Ihr auf die Möglichkeiten vor",Ort beschränkt. ,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,2000,3000
My_Enemys_Enemy,4,1,6,0,SK_PHILLIP,SK_MARSHAL,SK_ABBOT,SK_WOLF,SK_PIG,0,0,1,2,3,4,5,6,0,0,1,2,3,2,2,2,0,0,0,0,2,0,4,0,4,5,Feind meines Feindes - Akt IV,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,100,0,50,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nahe der gesicherten Gebiete macht sich euer Erzfeind breit: Volpe","hat die Länder des Efendis für sich beansprucht, errichtet massive","Verteidigungsanlagen, schart Verbündete um sich und scheint","gewillter denn je, Richard zu stürzen. Dem madigen kleinen","Longsword ist es zudem gelungen, eure Versorgungsrouten erheblich","zu stören. Immerhin konntet Ihr mit dem Efendi im Vorfeld ein paar","Abmachungen treffen - für ein echtes Bündnis hat es nicht","gereicht, aber ein gemeinsamer Feind eint ja auch... irgendwie.",0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2000,5000
Balians_Legacy,3,1,7,0,SK_WAZIR,SK_SALADIN,SK_SALADIN,SK_NIZAR,SK_RICHARD,SK_SULTAN,0,1,2,3,4,5,6,7,0,1,2,2,2,2,1,2,0,7,6,6,2,0,7,7,5,Balians Vermächtnis - Akt IV,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,100,0,50,0,0,5,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,"Löwenherz hat erfahren, dass Saladin eine strategisch wichtige","Stadt erobern konnte, und eilt kühn zu deren Rückeroberung.","Ihr stoßt vom Landesinneren an seine Seite um Saladin ein letztes, ",entscheidendes Mal entgegen zu treten. Saladin hält die Stadt an,mehreren Stellen besetzt - Richard wird die direkte Konfrontation,"suchen, aber vielleicht findet Ihr bessere Ansätze, die Mauern zu","überwinden... vorausgesetzt Ihr entgeht Attentaten, Überfällen","und Gegenoffensiven, die Euch bald heimsuchen werden.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000,10000
